TF_PRIN2,TF_PRIN2CODE
Specialist cereals oilseeds and protein crops,TF_PRIN2_v1
General field cropping,TF_PRIN2_v2
Specialist horticulture indoor,TF_PRIN2_v3
Specialist horticulture outdoor,TF_PRIN2_v4
Other horticulture,TF_PRIN2_v5
Specialist fruit and citrus fruit,TF_PRIN2_v6
Specialist vineyards,TF_PRIN2_v7
Specialist olives,TF_PRIN2_v8
Various permanent crops combined,TF_PRIN2_v9
Specialist dairying,TF_PRIN2_v10
Sheep goats and other grazing livestock,TF_PRIN2_v11
Specialist cattle - rearing and fattening,TF_PRIN2_v12
Cattle - dairying rearing and fattening combined,TF_PRIN2_v13
Specialist pigs,TF_PRIN2_v14
Specialist poultry,TF_PRIN2_v15
Various granivores combined,TF_PRIN2_v16
Mixed cropping,TF_PRIN2_v17
Mixed livestock mainly grazing livestock,TF_PRIN2_v18
Mixed livestock mainly granivores,TF_PRIN2_v19
Field crops - grazing livestock combined,TF_PRIN2_v20
Various crops and livestock combined,TF_PRIN2_v21
.,x
,x
