TF_SUBP4,TF_SUBP4CODE
Specialist cereals (other than rice) oilseeds and protein crops,TF_SUBP4_v1
Cereals oilseeds protein crops and root crops combined,TF_SUBP4_v2
Specialist rice,TF_SUBP4_v3
Cereals oilseeds protein crops and rice combined,TF_SUBP4_v4
Specialist root crops,TF_SUBP4_v5
Specialist field vegetables,TF_SUBP4_v6
Various field crops combined,TF_SUBP4_v7
Specialist tobacco,TF_SUBP4_v8
Specialist cotton,TF_SUBP4_v9
Specialist vegetables indoor,TF_SUBP4_v10
Specialist flowers and ornamentals indoor,TF_SUBP4_v11
Mixed horticulture indoor specialist,TF_SUBP4_v12
Specialist vegetables outdoor,TF_SUBP4_v13
Specialist flowers and ornamentals outdoor,TF_SUBP4_v14
Mixed horticulture outdoor specialist,TF_SUBP4_v15
Specialist nurseries,TF_SUBP4_v16
Various horticulture,TF_SUBP4_v17
Specialist mushrooms,TF_SUBP4_v18
Specialist fruit (other than citrus subtropical fruits or nuts),TF_SUBP4_v19
Specialist fruit citrus subtropical fruits and nuts: mixed production,TF_SUBP4_v20
Specialist citrus fruit,TF_SUBP4_v21
Specialist subtropical fruits,TF_SUBP4_v22
Specialist nuts,TF_SUBP4_v23
Specialist wine other than quality wine,TF_SUBP4_v24
Specialist table grapes,TF_SUBP4_v25
Other vineyards,TF_SUBP4_v26
Specialist quality wine,TF_SUBP4_v27
Specialist olives,TF_SUBP4_v28
Various permanent crops combined,TF_SUBP4_v29
Specialist dairying,TF_SUBP4_v30
Specialist sheep,TF_SUBP4_v31
Specialist goats,TF_SUBP4_v32
Sheep and cattle combined,TF_SUBP4_v33
Various grazing livestock,TF_SUBP4_v34
Specialist cattle - rearing and fattening,TF_SUBP4_v35
Cattle - dairying rearing and fattening combined,TF_SUBP4_v36
Specialist pig rearing,TF_SUBP4_v37
Specialist pig fattening,TF_SUBP4_v38
Pig rearing and fattening combined,TF_SUBP4_v39
Specialist laying hens,TF_SUBP4_v40
Specialist poultry-meat,TF_SUBP4_v41
Laying hens and poultry-meat combined,TF_SUBP4_v42
Various granivores combined,TF_SUBP4_v43
Horticulture and permanent crops combined,TF_SUBP4_v44
Field crops and horticulture combined,TF_SUBP4_v45
Mixed cropping mainly field crops,TF_SUBP4_v46
Other mixed cropping,TF_SUBP4_v47
Field crops and vineyards combined,TF_SUBP4_v48
Field crops and permanent crops combined,TF_SUBP4_v49
Mixed livestock mainly dairying,TF_SUBP4_v50
Mixed livestock mainly non-dairying grazing livestock,TF_SUBP4_v51
Mixed livestock: granivores and dairying,TF_SUBP4_v52
Mixed livestock: granivores and non-dairying grazing livestock,TF_SUBP4_v53
Field crops combined with dairying,TF_SUBP4_v54
Dairying combined with field crops,TF_SUBP4_v55
Field crops combined with non-dairying grazing livestock,TF_SUBP4_v56
Non-dairying grazing livestock combined with field crops,TF_SUBP4_v57
Field crops and granivores combined,TF_SUBP4_v58
Various mixed crops and livestock,TF_SUBP4_v59
Permanent crops and grazing livestock combined,TF_SUBP4_v60
Apiculture,TF_SUBP4_v61
.,x
,x
