seq,uri,label,subPropertyOf,range,unitMeasure
1,http://w3id.org/foodie/fadn#SE005,Economic size,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/EconomicSizeUnit
2,http://w3id.org/foodie/fadn#SE010,Total labour input,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AnnualWorkUnit
3,http://w3id.org/foodie/fadn#SE011,Labour input,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/hour
4,http://w3id.org/foodie/fadn#SE015,Unpaid labour input,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/FamilyWorkUnit
5,http://w3id.org/foodie/fadn#SE016,Unpaid labour input,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/hour
6,http://w3id.org/foodie/fadn#SE020,Paid labour input,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AnnualWorkUnit
7,http://w3id.org/foodie/fadn#SE021,Paid labour Input,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/hour
8,http://w3id.org/foodie/fadn#SE025,Total Utilised Agricultural Area,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/hectare
9,http://w3id.org/foodie/fadn#SE030,Rented U.A.A.,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/hectare
10,http://w3id.org/foodie/fadn#SE035,Cereals,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/hectare
11,http://w3id.org/foodie/fadn#SE041,Other field crops,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/hectare
12,http://w3id.org/foodie/fadn#SE042,Energy crops,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/hectare
13,http://w3id.org/foodie/fadn#SE046,Vegetables and flowers,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/hectare
14,http://w3id.org/foodie/fadn#SE050,Vineyards,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/hectare
15,http://w3id.org/foodie/fadn#SE054,Permanent crops,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/hectare
16,http://w3id.org/foodie/fadn#SE055,Orchards,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/hectare
17,http://w3id.org/foodie/fadn#SE060,Olive groves,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/hectare
